Бойм Александр;История одной поездки;драма;139278;boim;1;0
Бойм Александр;Летние истории;драма;191022;summer;1;0
Боккачо Джованни;Декамерон;драма;1530433;dekamern;1;0
Болонкин Александр;Записки заключенного;политика;139416;politzk;1;0
Болотников В.;Сборник анекдотов;анекдоты;3988000;anec_bol;1;0
Болотов Дмитрий;Роман Бо;юмор;117003;bo;1;0
Бом Дэвид;Развертывающееся значение;философия;357368;3-day;1;1
Бонавентура;Путеводитель души к Богу;религия;79828;bonavent;1;0
Бондарев Игорь;Сборник;лирика;183399;bondarev;1;0
Бондарев Юрий;Батальоны просят огня;военные;391028;batalion;1;0
Бондарев Юрий;Берег;военные;889530;shore;1;1
Бондарев Юрий;Горячий снег;военные;777997;gorychig;1;0
Бондарев Юрий;Последние залпы;военные;342160;lastsalv;1;1
Бондарев Юрий;Публицистика;военные;138280;publicsm;1;1
Бондарев Юрий;Рассказы;драма;221490;bondarev;1;1
Бондарев Юрий;Родственники;военные;309758;relative;1;1
Бондарев Юрий;Тишина;военные;802127;quiet;1;1
Бондарев Юрий;Юность командиров;военные;523927;youthcmn;1;1
Бондаренко Борис;Пирамида;драма;874067;piramid;1;0
Бонзельс В.;Приключение пчелки Майи;сказка;200882;maya;1;0
Борге Берхард;Мертвецы сходят на берег;триллер;390326;borge1;1;0
Борисова Екатерина;Спеши, пока горит свеча;сказка;162282;borisv1r;1;0
Боровой К.;Сценарий кукольного спектакля для новой телевизионной п;юмор;12669;stars;1;0
Бородай Ю.М.;Воображение и теория познания;философия;74863;borodai;1;0
Бородин Сергей;Дмитрий Донской;история;692946;ddonskoy;1;0
Бородынин А.;Похождения профессора Эпикура;юмор;142925;epikur;1;0
Борхерт В.;Рассказы;драма;72754;borhert;1;0
Борянский Александр;Возвращение Вещего Олега;юмор;56265;ret_oleg;1;0
Боснак Роберт;В мире сновидений;психология;80753;bosnak;1;0
Боссарт Алла;Повести Зайцева;драма;198805;bos;1;0
Босуэл Барбара;Совместное расследование;жен. роман;281020;boss2;1;0
Бочаров Олег;Сборник юмора;юмор;889582;bocharov;1;0
Бояркин Сергей;Солдаты Афганской войны;драма;348410;boyark01;1;0
Брандес Георг;Шекспир. Жизнь и произведения.;драма;1840471;brandes;1;0
Бранк Вольдемар;Маленький человек на большом пути;драма;354990;brank1;1;0
Браннер Джон;Зыбучий песок;драма;455046;quicksan;1;0
Браун Вирджиния;Мятежные сердца;жен. роман;689965;brw1;1;0
Браун Сандра;Демон страсти;жен. роман;272294;brow3;1;0
Браун Сандра;День греха;жен. роман;697980;brow1;1;0
Браун Сандра;Пламя страсти;жен. роман;332298;brow4;1;0
Браун Сандра;Потаенное пламя;жен. роман;676551;brow6;1;1
