<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;10/07/23;190000;167.7000000
GAZP;60;10/07/23;200000;167.4800000
GAZP;60;10/07/23;210000;167.4900000
GAZP;60;10/07/23;220000;167.4000000
GAZP;60;10/07/23;230000;167.4600000
GAZP;60;11/07/23;000000;167.5900000
GAZP;60;11/07/23;110000;168.3400000
GAZP;60;11/07/23;120000;168.0000000
GAZP;60;11/07/23;130000;167.9300000
GAZP;60;11/07/23;140000;167.9600000
GAZP;60;11/07/23;150000;168.0000000
GAZP;60;11/07/23;160000;168.0900000
GAZP;60;11/07/23;170000;167.6100000
GAZP;60;11/07/23;180000;168.0700000
GAZP;60;11/07/23;190000;168.4600000
GAZP;60;11/07/23;200000;168.7200000
GAZP;60;11/07/23;210000;168.6600000
GAZP;60;11/07/23;220000;168.8100000
GAZP;60;11/07/23;230000;168.7200000
GAZP;60;12/07/23;000000;168.8500000
GAZP;60;12/07/23;110000;170.1900000
GAZP;60;12/07/23;120000;170.4500000
GAZP;60;12/07/23;130000;170.2500000
GAZP;60;12/07/23;140000;170.3500000
GAZP;60;12/07/23;150000;170.1200000
GAZP;60;12/07/23;160000;170.5000000
GAZP;60;12/07/23;170000;170.3700000
GAZP;60;12/07/23;180000;170.1600000
GAZP;60;12/07/23;190000;170.4500000
GAZP;60;12/07/23;200000;169.8100000
GAZP;60;12/07/23;210000;170.1100000
GAZP;60;12/07/23;220000;170.1000000
GAZP;60;12/07/23;230000;170.3000000
GAZP;60;13/07/23;000000;170.3000000
GAZP;60;13/07/23;110000;169.6200000
GAZP;60;13/07/23;120000;169.4600000
GAZP;60;13/07/23;130000;168.9000000
GAZP;60;13/07/23;140000;169.2300000
GAZP;60;13/07/23;150000;169.0400000
GAZP;60;13/07/23;160000;169.3200000
GAZP;60;13/07/23;170000;169.4900000
GAZP;60;13/07/23;180000;169.2700000
GAZP;60;13/07/23;190000;169.0300000
GAZP;60;13/07/23;200000;169.1200000
GAZP;60;13/07/23;210000;169.1500000
GAZP;60;13/07/23;220000;169.1000000
GAZP;60;13/07/23;230000;169.1900000
GAZP;60;14/07/23;000000;168.9600000
GAZP;60;14/07/23;110000;168.8400000
GAZP;60;14/07/23;120000;169.5800000
GAZP;60;14/07/23;130000;169.4000000
GAZP;60;14/07/23;140000;169.7100000
GAZP;60;14/07/23;150000;169.4500000
GAZP;60;14/07/23;160000;169.4400000
GAZP;60;14/07/23;170000;169.2800000
GAZP;60;14/07/23;180000;169.3200000
